,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Ecosystem Health Indicators,Ecosystem Health Indicators,,,,,
1,Biodiversity Levels,Ecosystem Health Indicators,Biodiversity Levels,,,,
2,Species Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,,,
3,Invasive Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,,
4,Invasive Species Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,
5,Genetic Variability of Invasive Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Genetic Variability of Invasive Species
6,Interaction Diversity with Native Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Interaction Diversity with Native Species
7,Functional Role Variation in Ecosystem,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Functional Role Variation in Ecosystem
8,Non-native species variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Non-native species variety
9,Alien species diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Alien species diversity
10,Exotic species richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Exotic species richness
11,Introduced species diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Introduced species diversity
12,Foreign species variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Foreign species variety
13,Invasive organism diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Invasive organism diversity
14,Non-indigenous species diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Non-indigenous species diversity
15,Disruptive species diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Disruptive species diversity
16,Invasive flora and fauna diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Invasive flora and fauna diversity
17,Ecological diversity of invasive species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Diversity,Ecological diversity of invasive species
18,Invasive Population Density,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,
19,Competitive Displacement Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Competitive Displacement Rate
20,Resource Consumption Level,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Resource Consumption Level
21,Reproductive Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Reproductive Rate
22,High Population Density of Invasive Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,High Population Density of Invasive Species
23,Concentrated Invasive Species Presence,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Concentrated Invasive Species Presence
24,Dense Invasive Species Population,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Dense Invasive Species Population
25,Invasive Species Overpopulation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Invasive Species Overpopulation
26,Crowded Invasive Species Community,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Crowded Invasive Species Community
27,Invasive Species Density,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Invasive Species Density
28,Invasive Organism Concentration,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Invasive Organism Concentration
29,Invasive Species Proliferation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Invasive Species Proliferation
30,Invasive Species Abundance,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,Invasive Species Abundance
31,High Density of Non-Native Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Population Density,High Density of Non-Native Species
