,topic,category 0,category 1,category 2,category 3
0,Ecosystem Health Indicators,Ecosystem Health Indicators,,,
1,Biodiversity Index,Ecosystem Health Indicators,Biodiversity Index,,
2,Species Richness,Ecosystem Health Indicators,Biodiversity Index,Species Richness,
3,Number of Endemic Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Number of Endemic Species
4,Variety of Pollinator Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Variety of Pollinator Species
5,Diversity of Marine Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Diversity of Marine Species
6,Forest Species Diversity,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Forest Species Diversity
7,Freshwater Species Variety,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Freshwater Species Variety
8,Presence of Keystone Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Presence of Keystone Species
9,Genetic Diversity,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,
10,Allelic Variation,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Allelic Variation
11,Genetic Population Structure,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Genetic Population Structure
12,Adaptive Genetic Traits,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Adaptive Genetic Traits
13,Habitat Connectivity,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,
14,Corridor Lengths,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Corridor Lengths
15,Landscape Permeability,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Landscape Permeability
16,Patch Size Distribution,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Patch Size Distribution
17,Population Abundance,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,
18,Herbivore Population Density,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Herbivore Population Density
19,Pollinator Population Size,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Pollinator Population Size
20,Predator Population Levels,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Predator Population Levels
21,Aquatic Organism Abundance,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Aquatic Organism Abundance
22,Migratory Bird Population Numbers,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Migratory Bird Population Numbers
23,Invasive Species Presence,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,
24,Invasive Species Population Density,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,Invasive Species Population Density
25,Range of Invasive Species Distribution,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,Range of Invasive Species Distribution
26,Soil Quality,Ecosystem Health Indicators,Soil Quality,,
27,Soil Organic Matter Content,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,
28,Carbon Sequestration Capacity,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Carbon Sequestration Capacity
29,Soil Carbon Fractionation,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Soil Carbon Fractionation
30,Rate of Organic Matter Decomposition,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Rate of Organic Matter Decomposition
31,Soil Nutrient Levels,Ecosystem Health Indicators,Soil Quality,Soil Nutrient Levels,
