,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Fish Population Metrics,Fish Population Metrics,,,,,
1,Fish Biomass Levels,Fish Population Metrics,Fish Biomass Levels,,,,
2,Fish Species Diversity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,,,
3,Species Richness,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,,
4,Habitat Diversity Contribution,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Habitat Diversity Contribution,
5,Seafloor Habitat Complexity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Habitat Diversity Contribution,Seafloor Habitat Complexity
6,Coral and Algal Coverage,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Habitat Diversity Contribution,Coral and Algal Coverage
7,Seagrass Meadow Extent,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Habitat Diversity Contribution,Seagrass Meadow Extent
8,Migration Pathway Utilization,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Migration Pathway Utilization,
9,Pathway Usage Frequency,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Migration Pathway Utilization,Pathway Usage Frequency
10,Route Consistency,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Migration Pathway Utilization,Route Consistency
11,Cross-Border Pathway Utilization,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Migration Pathway Utilization,Cross-Border Pathway Utilization
12,Seasonal Pathway Shifts,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Migration Pathway Utilization,Seasonal Pathway Shifts
13,Species Niche Overlap,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Species Niche Overlap,
14,Resource Partitioning Intensity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Species Niche Overlap,Resource Partitioning Intensity
15,Prey Availability Overlap,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Species Niche Overlap,Prey Availability Overlap
16,Habitat Space Sharing,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Species Niche Overlap,Habitat Space Sharing
17,Reproductive Site Availability,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Reproductive Site Availability,
18,Spawning Ground Density,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Reproductive Site Availability,Spawning Ground Density
19,Nesting Site Quality,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Reproductive Site Availability,Nesting Site Quality
20,Breeding Habitat Range,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Reproductive Site Availability,Breeding Habitat Range
21,Nursery Area Accessibility,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Species Richness,Reproductive Site Availability,Nursery Area Accessibility
22,Genetic Variability,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,,
23,Allelic Diversity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Allelic Diversity,
24,Genetic Variability within Fish Populations,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Allelic Diversity,Genetic Variability within Fish Populations
25,Number of Unique Alleles in Fish Stocks,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Allelic Diversity,Number of Unique Alleles in Fish Stocks
26,Distribution of Alleles Across Fish Habitats,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Allelic Diversity,Distribution of Alleles Across Fish Habitats
27,Heterozygosity Levels,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Heterozygosity Levels,
28,Genetic Variation Across Populations,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Heterozygosity Levels,Genetic Variation Across Populations
29,Effective Population Size,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Heterozygosity Levels,Effective Population Size
30,Habitat-Specific Genetic Diversity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Genetic Variability,Heterozygosity Levels,Habitat-Specific Genetic Diversity
31,Endemic Species Proportion,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,,
32,Endemic Species Biomass,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Biomass,
33,Trophic Level Biomass Contribution,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Biomass,Trophic Level Biomass Contribution
34,Biomass Distribution by Depth,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Biomass,Biomass Distribution by Depth
35,Seasonal Biomass Variability,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Biomass,Seasonal Biomass Variability
36,Biomass Composition Ratio,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Biomass,Biomass Composition Ratio
37,Endemic Species Habitat Range,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Habitat Range,
38,Habitat Area Size,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Habitat Range,Habitat Area Size
39,Habitat Contiguity,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Habitat Range,Habitat Contiguity
40,Endemic Species Reproductive Success,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Reproductive Success,
41,Spawning Frequency,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Reproductive Success,Spawning Frequency
