,topic,category 0,category 1,category 2,category 3
0,Fish Population Metrics,Fish Population Metrics,,,
1,Biomass Density,Fish Population Metrics,Biomass Density,,
2,Algal Growth Proliferation,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,
3,Phytoplankton Biomass,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Phytoplankton Biomass
4,Zooplankton Availability,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Zooplankton Availability
5,Algal Bloom Frequency,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Bloom Frequency
6,Seasonal Algal Dominance,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Seasonal Algal Dominance
7,Light Penetration Depth in Water,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Light Penetration Depth in Water
8,Algal Species Diversity,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Species Diversity
9,Algal Bloom,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Bloom
10,Algal Expansion,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Expansion
11,Algal Proliferation,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Proliferation
12,Phytoplankton Surge,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Phytoplankton Surge
13,Algae Proliferation,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algae Proliferation
14,Aquatic Plant Growth,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Aquatic Plant Growth
15,Eutrophication,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Eutrophication
16,Microalgae Growth,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Microalgae Growth
17,Green Tide,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Green Tide
18,Blooming Algae,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Blooming Algae
19,Algal Proliferative Phase,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Proliferative Phase
20,Rapid Algal Growth,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Rapid Algal Growth
21,Algal Mass ,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Algal Mass 
22,Aquatic Algal Proliferation,Fish Population Metrics,Biomass Density,Algal Growth Proliferation,Aquatic Algal Proliferation
23,Plankton Availability,Fish Population Metrics,Biomass Density,Plankton Availability,
24,Plankton Biomass Density,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Biomass Density
25,Species Diversity of Plankton,Fish Population Metrics,Biomass Density,Plankton Availability,Species Diversity of Plankton
26,Seasonal Plankton Bloom Phenomena,Fish Population Metrics,Biomass Density,Plankton Availability,Seasonal Plankton Bloom Phenomena
27,Zooplankton to Phytoplankton Ratio,Fish Population Metrics,Biomass Density,Plankton Availability,Zooplankton to Phytoplankton Ratio
28,Plankton Composition Stability,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Composition Stability
29,Vertical Distribution of Plankton,Fish Population Metrics,Biomass Density,Plankton Availability,Vertical Distribution of Plankton
30,Plankton Reproductive Rates,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Reproductive Rates
31,Plankton Presence,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Presence
32,Plankton Abundance,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Abundance
33,Plankton Supply,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Supply
34,Plankton Distribution,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Distribution
35,Plankton Accessibility,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Accessibility
36,Plankton Population,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Population
37,Plankton Resources,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Resources
38,Plankton Levels,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Levels
39,Plankton Concentration,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Concentration
40,Plankton Occurrence,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Occurrence
41,Plankton Biomass,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Biomass
42,Plankton Metrics,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Metrics
43,Plankton Ecosystem Status,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Ecosystem Status
44,Plankton Density,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Density
45,Plankton Proliferation,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Proliferation
46,Plankton Availability Index,Fish Population Metrics,Biomass Density,Plankton Availability,Plankton Availability Index
47,Water Temperature Variability,Fish Population Metrics,Biomass Density,Water Temperature Variability,
48,Fish Mortality Rates Related to Temperature Shifts,Fish Population Metrics,Biomass Density,Water Temperature Variability,Fish Mortality Rates Related to Temperature Shifts
49,Spawning Success in Variable Temperatures,Fish Population Metrics,Biomass Density,Water Temperature Variability,Spawning Success in Variable Temperatures
50,Water Temperature Fluctuation,Fish Population Metrics,Biomass Density,Water Temperature Variability,Water Temperature Fluctuation
51,Thermal Variation in Water,Fish Population Metrics,Biomass Density,Water Temperature Variability,Thermal Variation in Water
52,Water Temperature Changes,Fish Population Metrics,Biomass Density,Water Temperature Variability,Water Temperature Changes
53,Hydrological Temperature Variation,Fish Population Metrics,Biomass Density,Water Temperature Variability,Hydrological Temperature Variation
54,Habitat Structural Complexity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,
55,Reef Formation Density,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Reef Formation Density
56,Seagrass Bed Coverage,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Seagrass Bed Coverage
57,Mangrove Root Network Size,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Mangrove Root Network Size
58,Artificial Reef Structures,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Artificial Reef Structures
59,Ecological Complexity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Ecological Complexity
60,Habitat Diversity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Habitat Diversity
61,Structural Diversity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Structural Diversity
62,Environmental Complexity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Environmental Complexity
63,Habitat Architecture,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Habitat Architecture
64,Spatial Complexity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Spatial Complexity
65,Biotic Structure,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Biotic Structure
66,Habitat Heterogeneity,Fish Population Metrics,Biomass Density,Habitat Structural Complexity,Habitat Heterogeneity
67,Predator Population Dynamics,Fish Population Metrics,Biomass Density,Predator Population Dynamics,
68,Predator Species Diversity,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Species Diversity
69,Age Structure of Predatory Fish,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Age Structure of Predatory Fish
70,Predator Biomass,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Biomass
71,Predator Reproductive Rates,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Reproductive Rates
72,Predator Feeding Rates,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Feeding Rates
73,Predator Ecology,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Ecology
74,Predator Abundance Fluctuations,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Abundance Fluctuations
75,Predatory Species Dynamics,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predatory Species Dynamics
76,Predator-Prey Interactions,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator-Prey Interactions
77,Population Ecology of Predators,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Population Ecology of Predators
78,Predator Density Changes,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Density Changes
79,Predator Community Structure,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Community Structure
80,Predator Population Fluctuations,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Population Fluctuations
81,Predator Life Cycle Dynamics,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Life Cycle Dynamics
82,Predator Population Trends,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Population Trends
83,Predator Species Interrelationships,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Species Interrelationships
84,Dynamics of Predator Populations,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Dynamics of Predator Populations
85,Predator Population Studies,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Population Studies
86,Predator Demographic Changes,Fish Population Metrics,Biomass Density,Predator Population Dynamics,Predator Demographic Changes
87,Nutrient Level Concentration,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,
88,Phosphorus Concentration,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Phosphorus Concentration
89,Nitrogen Levels,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nitrogen Levels
90,Dissolved Organic Carbon Amounts,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Dissolved Organic Carbon Amounts
91,Silicate Availability,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Silicate Availability
92,Trace Metal Content,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Trace Metal Content
93,Nutrient Density,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Density
94,Nutrient Concentration,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Concentration
95,Nutrient Content,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Content
96,Nutrient Amount,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Amount
97,Nutrient Proportion,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Proportion
98,Nutrient Quality,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Quality
99,Nutrient Load,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Load
100,Nutrient Intensity,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Intensity
101,Nutritional Value,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutritional Value
102,Nutrient Availability,Fish Population Metrics,Biomass Density,Nutrient Level Concentration,Nutrient Availability
103,Biomass Concentration,Fish Population Metrics,Biomass Density,Biomass Concentration,
104,Biomass Weight per Volume,Fish Population Metrics,Biomass Density,Biomass Weight per Volume,
105,Biomass Mass Density,Fish Population Metrics,Biomass Density,Biomass Mass Density,
106,Biomass Loading,Fish Population Metrics,Biomass Density,Biomass Loading,
107,Biomass Compactness,Fish Population Metrics,Biomass Density,Biomass Compactness,
108,Biomass Yield Density,Fish Population Metrics,Biomass Density,Biomass Yield Density,
109,Biomass Volume Ratio,Fish Population Metrics,Biomass Density,Biomass Volume Ratio,
110,Biomass Mass per Unit Volume,Fish Population Metrics,Biomass Density,Biomass Mass per Unit Volume,
111,Biomass Distribution,Fish Population Metrics,Biomass Density,Biomass Distribution,
112,Biomass Density Index,Fish Population Metrics,Biomass Density,Biomass Density Index,
113,Biomass Packing Density,Fish Population Metrics,Biomass Density,Biomass Packing Density,
114,Biomass Aggregation,Fish Population Metrics,Biomass Density,Biomass Aggregation,
115,Biomass Concentration Factor,Fish Population Metrics,Biomass Density,Biomass Concentration Factor,
116,Biomass Storage Density,Fish Population Metrics,Biomass Density,Biomass Storage Density,
117,Biomass Saturation,Fish Population Metrics,Biomass Density,Biomass Saturation,
118,Biomass Intensity,Fish Population Metrics,Biomass Density,Biomass Intensity,
119,Species Abundance,Fish Population Metrics,Species Abundance,,
120,Habitat Utilization Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,
121,Seafloor Topography Usage,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Seafloor Topography Usage
122,Water Column Occupancy,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Water Column Occupancy
123,Artificial Structure Usage,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Artificial Structure Usage
124,Migration Path Occupancy,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Migration Path Occupancy
125,Reef Habitat Dependence,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Reef Habitat Dependence
126,Habitat Usage Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Usage Rates
127,Habitat Exploitation Levels,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Exploitation Levels
128,Habitat Occupancy Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Occupancy Rates
129,Habitat Consumption Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Consumption Rates
130,Habitat Engagement Levels,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Engagement Levels
