,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Political Indicators,Political Indicators,,,,,
1,Voter Turnout in Local Elections,Political Indicators,Voter Turnout in Local Elections,,,,
2,Voter Registration Rates,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,,,
3,Online Voter Registration Numbers,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,,
4,Urban Area Online Voter Registration Engagement,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,
5,Urban Online Registration User Demographics,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Urban Online Registration User Demographics
6,Voter Registration Completion Rates,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Voter Registration Completion Rates
7,City-based Voter Registration Participation,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,City-based Voter Registration Participation
8,Metropolitan Online Voting Engagement,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Metropolitan Online Voting Engagement
9,Urban Digital Voter Enrollment,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Urban Digital Voter Enrollment
10,Municipal E-Voter Registration Outreach,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Municipal E-Voter Registration Outreach
11,Urban Area Digital Voting Involvement,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Urban Area Digital Voting Involvement
12,Citywide Online Voter Registration Initiative,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Citywide Online Voter Registration Initiative
13,Urban Community E-Registration Engagement,Political Indicators,Voter Turnout in Local Elections,Voter Registration Rates,Online Voter Registration Numbers,Urban Area Online Voter Registration Engagement,Urban Community E-Registration Engagement
