,topic,category 0,category 1,category 2,category 3
0,Political Indicators,Political Indicators,,,
1,Voter Turnout Rates,Political Indicators,Voter Turnout Rates,,
2,Youth Voter Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,
3,Youth Voter Turnout Rates,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates
4,Youth Voting Awareness Programs,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voting Awareness Programs
5,Youth Polling Station Accessibility,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Polling Station Accessibility
6,Youth Electoral Engagement in Urban Areas,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Electoral Engagement in Urban Areas
7,Youth Participation in Political Campaigns,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Participation in Political Campaigns
8,Young Voter Engagement,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Young Voter Engagement
9,Adolescent Electoral Involvement,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Adolescent Electoral Involvement
10,Teen Voting Activity,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Teen Voting Activity
11,Millennial Voting Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Millennial Voting Participation
12,Gen Z Electoral Engagement,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Gen Z Electoral Engagement
13,Youth Electoral Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Electoral Participation
14,Young Citizen Voting,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Young Citizen Voting
15,Junior Voter Involvement,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Junior Voter Involvement
16,Student Voting Rates,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Student Voting Rates
17,Young Adult Electoral Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Young Adult Electoral Participation
18,Rural Voter Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,
19,Voting Participation Rate,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Voting Participation Rate
20,Access to Polling Stations,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations
21,Political Awareness Programs,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Awareness Programs
22,Community Political Meetings Attendance,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Meetings Attendance
23,Local Political Representation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Local Political Representation
24,Campaign Outreach Events,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Campaign Outreach Events
25,Country Elector Participation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Country Elector Participation
26,Agricultural Voter Involvement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Agricultural Voter Involvement
27,Rural Electorate Mobilization,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Rural Electorate Mobilization
28,Countryside Voting Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Countryside Voting Engagement
29,Remote Area Voter Outreach,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Remote Area Voter Outreach
30,Farming Community Electoral Participation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Farming Community Electoral Participation
31,Rural Citizen Voting Activity,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Rural Citizen Voting Activity
32,Village Voter Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Village Voter Engagement
33,Pastoral Elector Participation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Pastoral Elector Participation
34,Rural Community Voting Involvement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Rural Community Voting Involvement
35,Suburban Voter Activation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Suburban Voter Activation
36,Rural Constituency Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Rural Constituency Engagement
37,Countryside Elector Mobilization,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Countryside Elector Mobilization
38,Rural Resident Voting Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Rural Resident Voting Engagement
39,Voter Registration Completeness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,
40,Voter Identification Accuracy,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Identification Accuracy
41,Database Management Efficiency,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Database Management Efficiency
42,Address Verification Rate,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Address Verification Rate
43,Duplicate Registration Cases,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Duplicate Registration Cases
44,Registration Deadline Compliance,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Registration Deadline Compliance
45,Local Registration Office Accessibility,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Local Registration Office Accessibility
46,Public Awareness of Registration Process,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Public Awareness of Registration Process
47,Language Accessibility of Registration Materials,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Language Accessibility of Registration Materials
48,Voter Registration Accuracy,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Accuracy
49,Voter Enrollment Integrity,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Enrollment Integrity
50,Voter Registration Thoroughness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Thoroughness
51,Voter Sign-Up Completeness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Sign-Up Completeness
52,Voter Registration Sufficiency,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Sufficiency
53,Voter Enrollment Completeness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Enrollment Completeness
54,Voter Registration Fullness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Fullness
55,Voter Registration Validity,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Validity
56,Voter Registration Coverage,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Coverage
57,Voter Registration Fulfillment,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Fulfillment
58,Voter Registration Exhaustiveness,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Exhaustiveness
59,Voter Registration Consistency,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Consistency
60,Voter Registration Reliability,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Reliability
61,Voter Registration Comprehensive Status,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Comprehensive Status
62,Voter Registration Quality,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Quality
63,Voter Registration Verification,Political Indicators,Voter Turnout Rates,Voter Registration Completeness,Voter Registration Verification
64,Electoral Participation Rates,Political Indicators,Voter Turnout Rates,Electoral Participation Rates,
65,Voter Participation Levels,Political Indicators,Voter Turnout Rates,Voter Participation Levels,
66,Voting Turnout Statistics,Political Indicators,Voter Turnout Rates,Voting Turnout Statistics,
67,Ballot Casting Rates,Political Indicators,Voter Turnout Rates,Ballot Casting Rates,
68,Electorate Engagement Rates,Political Indicators,Voter Turnout Rates,Electorate Engagement Rates,
69,Poll Participation Rates,Political Indicators,Voter Turnout Rates,Poll Participation Rates,
70,Political Party Representation,Political Indicators,Political Party Representation,,
71,Regional Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,
72,Seats Held by Major Parties,Political Indicators,Political Party Representation,Regional Party Seats,Seats Held by Major Parties
73,Seats Won by Local Candidates,Political Indicators,Political Party Representation,Regional Party Seats,Seats Won by Local Candidates
74,Seats Held by Emerging Parties,Political Indicators,Political Party Representation,Regional Party Seats,Seats Held by Emerging Parties
75,Vacant Seats in Regional Parliament,Political Indicators,Political Party Representation,Regional Party Seats,Vacant Seats in Regional Parliament
76,Local Party Positions,Political Indicators,Political Party Representation,Regional Party Seats,Local Party Positions
77,District Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,District Party Seats
78,State Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,State Party Seats
79,Provincial Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,Provincial Party Seats
80,Territorial Party Positions,Political Indicators,Political Party Representation,Regional Party Seats,Territorial Party Positions
81,Area Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,Area Party Seats
82,Regional Electoral Seats,Political Indicators,Political Party Representation,Regional Party Seats,Regional Electoral Seats
83,Regional Representation,Political Indicators,Political Party Representation,Regional Party Seats,Regional Representation
84,Local Electoral Positions,Political Indicators,Political Party Representation,Regional Party Seats,Local Electoral Positions
85,State Legislative Seats,Political Indicators,Political Party Representation,Regional Party Seats,State Legislative Seats
86,Regional Political Seats,Political Indicators,Political Party Representation,Regional Party Seats,Regional Political Seats
87,Constituency Party Seats,Political Indicators,Political Party Representation,Regional Party Seats,Constituency Party Seats
88,Female Party Representation,Political Indicators,Political Party Representation,Female Party Representation,
89,Female Candidates in Provincial Elections,Political Indicators,Political Party Representation,Female Party Representation,Female Candidates in Provincial Elections
90,Female Party Leadership Positions,Political Indicators,Political Party Representation,Female Party Representation,Female Party Leadership Positions
91,Women's Political Representation,Political Indicators,Political Party Representation,Female Party Representation,Women's Political Representation
92,Female Political Participation,Political Indicators,Political Party Representation,Female Party Representation,Female Political Participation
93,Gender Representation in Politics,Political Indicators,Political Party Representation,Female Party Representation,Gender Representation in Politics
94,Women in Governance,Political Indicators,Political Party Representation,Female Party Representation,Women in Governance
95,Youth Representation in Parties,Political Indicators,Political Party Representation,Youth Representation in Parties,
96,Youth Leadership Roles,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Leadership Roles
97,Youth Membership Numbers,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Membership Numbers
98,Young Candidates in Elections,Political Indicators,Political Party Representation,Youth Representation in Parties,Young Candidates in Elections
99,Youth-Focused Policy Initiatives,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth-Focused Policy Initiatives
100,Youth Advocacy in Political Parties,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Advocacy in Political Parties
101,Young People's Involvement in Politics,Political Indicators,Political Party Representation,Youth Representation in Parties,Young People's Involvement in Politics
102,Youth Engagement in Political Organizations,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Engagement in Political Organizations
103,Representation of Young Voices in Parties,Political Indicators,Political Party Representation,Youth Representation in Parties,Representation of Young Voices in Parties
104,Youth Participation in Political Affairs,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Participation in Political Affairs
105,Young Activists in Political Representation,Political Indicators,Political Party Representation,Youth Representation in Parties,Young Activists in Political Representation
106,Youth Inclusion in Party Politics,Political Indicators,Political Party Representation,Youth Representation in Parties,Youth Inclusion in Party Politics
107,Young Leaders in Political Representation,Political Indicators,Political Party Representation,Youth Representation in Parties,Young Leaders in Political Representation
108,Minority Group Representation,Political Indicators,Political Party Representation,Minority Group Representation,
109,Ethnic Minority Electoral Participation,Political Indicators,Political Party Representation,Minority Group Representation,Ethnic Minority Electoral Participation
110,Indigenous Voter Turnout,Political Indicators,Political Party Representation,Minority Group Representation,Indigenous Voter Turnout
111,Minority Group Political Advocacy Organizations,Political Indicators,Political Party Representation,Minority Group Representation,Minority Group Political Advocacy Organizations
112,Representation of Indigenous Leaders in Local Councils,Political Indicators,Political Party Representation,Minority Group Representation,Representation of Indigenous Leaders in Local Councils
113,Minority-led Political Parties,Political Indicators,Political Party Representation,Minority Group Representation,Minority-led Political Parties
114,Diversity in Political Appointments,Political Indicators,Political Party Representation,Minority Group Representation,Diversity in Political Appointments
115,Representation of Non-Sundanese Candidates,Political Indicators,Political Party Representation,Minority Group Representation,Representation of Non-Sundanese Candidates
116,Minority Group Policy Influence in Local Governments,Political Indicators,Political Party Representation,Minority Group Representation,Minority Group Policy Influence in Local Governments
117,Underrepresented Communities,Political Indicators,Political Party Representation,Minority Group Representation,Underrepresented Communities
118,Marginalized Groups Representation,Political Indicators,Political Party Representation,Minority Group Representation,Marginalized Groups Representation
119,Diverse Population Advocacy,Political Indicators,Political Party Representation,Minority Group Representation,Diverse Population Advocacy
120,Equity in Representation,Political Indicators,Political Party Representation,Minority Group Representation,Equity in Representation
121,Cultural Representation,Political Indicators,Political Party Representation,Minority Group Representation,Cultural Representation
122,Socially Disadvantaged Groups,Political Indicators,Political Party Representation,Minority Group Representation,Socially Disadvantaged Groups
123,Inclusive Representation,Political Indicators,Political Party Representation,Minority Group Representation,Inclusive Representation
124,Ethnic Minority Representation,Political Indicators,Political Party Representation,Minority Group Representation,Ethnic Minority Representation
125,Community Representation,Political Indicators,Political Party Representation,Minority Group Representation,Community Representation
126,Representation of Diverse Voices,Political Indicators,Political Party Representation,Minority Group Representation,Representation of Diverse Voices
127,Minority Interests Advocacy,Political Indicators,Political Party Representation,Minority Group Representation,Minority Interests Advocacy
128,Equitable Representation,Political Indicators,Political Party Representation,Minority Group Representation,Equitable Representation
129,Disadvantaged Population Representation,Political Indicators,Political Party Representation,Minority Group Representation,Disadvantaged Population Representation
130,Representation of Minority Interests,Political Indicators,Political Party Representation,Minority Group Representation,Representation of Minority Interests
131,Civic Inclusion of Minorities,Political Indicators,Political Party Representation,Minority Group Representation,Civic Inclusion of Minorities
132,Representation of Underrepresented Groups,Political Indicators,Political Party Representation,Minority Group Representation,Representation of Underrepresented Groups
133,Political Party Advocacy,Political Indicators,Political Party Representation,Political Party Advocacy,
134,Political Party Participation,Political Indicators,Political Party Representation,Political Party Participation,
135,Political Party Influence,Political Indicators,Political Party Representation,Political Party Influence,
136,Political Party Presence,Political Indicators,Political Party Representation,Political Party Presence,
137,Political Party Voice,Political Indicators,Political Party Representation,Political Party Voice,
138,Political Party Engagement,Political Indicators,Political Party Representation,Political Party Engagement,
139,Political Party Involvement,Political Indicators,Political Party Representation,Political Party Involvement,
140,Political Party Sponsorship,Political Indicators,Political Party Representation,Political Party Sponsorship,
141,Legislative Activity,Political Indicators,Legislative Activity,,
142,Number of Bills Introduced,Political Indicators,Legislative Activity,Number of Bills Introduced,
143,Provincial Government Bills Introduced,Political Indicators,Legislative Activity,Number of Bills Introduced,Provincial Government Bills Introduced
144,Local Government Bills Introduced,Political Indicators,Legislative Activity,Number of Bills Introduced,Local Government Bills Introduced
145,Regional Legislative Bills Introduced,Political Indicators,Legislative Activity,Number of Bills Introduced,Regional Legislative Bills Introduced
146,Count of Proposed Legislation,Political Indicators,Legislative Activity,Number of Bills Introduced,Count of Proposed Legislation
147,Total Bills Presented,Political Indicators,Legislative Activity,Number of Bills Introduced,Total Bills Presented
148,Quantity of Legislative Proposals,Political Indicators,Legislative Activity,Number of Bills Introduced,Quantity of Legislative Proposals
149,Amount of Bills Submitted,Political Indicators,Legislative Activity,Number of Bills Introduced,Amount of Bills Submitted
150,Number of Legislative Introductions,Political Indicators,Legislative Activity,Number of Bills Introduced,Number of Legislative Introductions
151,Total Proposed Bills,Political Indicators,Legislative Activity,Number of Bills Introduced,Total Proposed Bills
152,Count of Bills Put Forward,Political Indicators,Legislative Activity,Number of Bills Introduced,Count of Bills Put Forward
153,Volume of Bills Introduced,Political Indicators,Legislative Activity,Number of Bills Introduced,Volume of Bills Introduced
154,Amendments Proposed,Political Indicators,Legislative Activity,Amendments Proposed,
155,Constitutional Amendments Proposed,Political Indicators,Legislative Activity,Amendments Proposed,Constitutional Amendments Proposed
156,Local Government Regulation Amendments Proposed,Political Indicators,Legislative Activity,Amendments Proposed,Local Government Regulation Amendments Proposed
157,Environmental Legislation Amendments Proposed,Political Indicators,Legislative Activity,Amendments Proposed,Environmental Legislation Amendments Proposed
158,Education Policy Amendments Proposed,Political Indicators,Legislative Activity,Amendments Proposed,Education Policy Amendments Proposed
159,Proposed Changes,Political Indicators,Legislative Activity,Amendments Proposed,Proposed Changes
160,Suggested Revisions,Political Indicators,Legislative Activity,Amendments Proposed,Suggested Revisions
161,Recommended Modifications,Political Indicators,Legislative Activity,Amendments Proposed,Recommended Modifications
162,Draft Amendments,Political Indicators,Legislative Activity,Amendments Proposed,Draft Amendments
163,Alterations Suggested,Political Indicators,Legislative Activity,Amendments Proposed,Alterations Suggested
164,Proposed Adjustments,Political Indicators,Legislative Activity,Amendments Proposed,Proposed Adjustments
165,Revision Proposals,Political Indicators,Legislative Activity,Amendments Proposed,Revision Proposals
166,Amendment Suggestions,Political Indicators,Legislative Activity,Amendments Proposed,Amendment Suggestions
167,Committee Meetings Held,Political Indicators,Legislative Activity,Committee Meetings Held,
168,Frequency of Legislative Committees Meeting,Political Indicators,Legislative Activity,Committee Meetings Held,Frequency of Legislative Committees Meeting
169,Number of Committee Members Present,Political Indicators,Legislative Activity,Committee Meetings Held,Number of Committee Members Present
170,Duration of Each Committee Meeting,Political Indicators,Legislative Activity,Committee Meetings Held,Duration of Each Committee Meeting
171,Variety of Topics Covered in Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Variety of Topics Covered in Meetings
172,Degree of Public Access to Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Degree of Public Access to Meetings
173,Translation Availability During Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Translation Availability During Meetings
174,Board Sessions Conducted,Political Indicators,Legislative Activity,Committee Meetings Held,Board Sessions Conducted
175,Panel Discussions Held,Political Indicators,Legislative Activity,Committee Meetings Held,Panel Discussions Held
176,Task Force Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Task Force Meetings
177,Advisory Group Gatherings,Political Indicators,Legislative Activity,Committee Meetings Held,Advisory Group Gatherings
178,Working Group Assemblies,Political Indicators,Legislative Activity,Committee Meetings Held,Working Group Assemblies
179,Steering Committee Sessions,Political Indicators,Legislative Activity,Committee Meetings Held,Steering Committee Sessions
180,Subcommittee Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Subcommittee Meetings
181,Roundtable Discussions,Political Indicators,Legislative Activity,Committee Meetings Held,Roundtable Discussions
182,Conference Calls,Political Indicators,Legislative Activity,Committee Meetings Held,Conference Calls
183,Leadership Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Leadership Meetings
184,Strategic Planning Sessions,Political Indicators,Legislative Activity,Committee Meetings Held,Strategic Planning Sessions
185,Collaboration Meetings,Political Indicators,Legislative Activity,Committee Meetings Held,Collaboration Meetings
186,Focus Group Discussions,Political Indicators,Legislative Activity,Committee Meetings Held,Focus Group Discussions
187,Decision-Making Gatherings,Political Indicators,Legislative Activity,Committee Meetings Held,Decision-Making Gatherings
188,Public Consultations Conducted,Political Indicators,Legislative Activity,Public Consultations Conducted,
189,Community Forum Attendance,Political Indicators,Legislative Activity,Public Consultations Conducted,Community Forum Attendance
190,Number of Stakeholder Meetings,Political Indicators,Legislative Activity,Public Consultations Conducted,Number of Stakeholder Meetings
191,Feedback Submissions,Political Indicators,Legislative Activity,Public Consultations Conducted,Feedback Submissions
192,Public Opinion Surveys Conducted,Political Indicators,Legislative Activity,Public Consultations Conducted,Public Opinion Surveys Conducted
193,Village Consultation Sessions,Political Indicators,Legislative Activity,Public Consultations Conducted,Village Consultation Sessions
194,Online Engagement Initiatives,Political Indicators,Legislative Activity,Public Consultations Conducted,Online Engagement Initiatives
195,Community Engagement Sessions,Political Indicators,Legislative Activity,Public Consultations Conducted,Community Engagement Sessions
196,Public Forums Held,Political Indicators,Legislative Activity,Public Consultations Conducted,Public Forums Held
197,Stakeholder Meetings Organized,Political Indicators,Legislative Activity,Public Consultations Conducted,Stakeholder Meetings Organized
198,Citizen Input Gathered,Political Indicators,Legislative Activity,Public Consultations Conducted,Citizen Input Gathered
199,Open Discussions Facilitated,Political Indicators,Legislative Activity,Public Consultations Conducted,Open Discussions Facilitated
200,Feedback Gatherings Conducted,Political Indicators,Legislative Activity,Public Consultations Conducted,Feedback Gatherings Conducted
201,Public Hearings Arranged,Political Indicators,Legislative Activity,Public Consultations Conducted,Public Hearings Arranged
202,Community Feedback Sessions,Political Indicators,Legislative Activity,Public Consultations Conducted,Community Feedback Sessions
203,Consultative Meetings Held,Political Indicators,Legislative Activity,Public Consultations Conducted,Consultative Meetings Held
204,Public Input Sessions,Political Indicators,Legislative Activity,Public Consultations Conducted,Public Input Sessions
205,Engagement Workshops Conducted,Political Indicators,Legislative Activity,Public Consultations Conducted,Engagement Workshops Conducted
206,Town Hall Meetings Organized,Political Indicators,Legislative Activity,Public Consultations Conducted,Town Hall Meetings Organized
207,Legislative Sessions Scheduled,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,
208,Session Attendance,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Session Attendance
209,Number of Debates Held,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Number of Debates Held
210,Session Duration,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Session Duration
211,Frequency of Special Sessions,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Frequency of Special Sessions
212,Quorum Achieved,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Quorum Achieved
213,Legislative Meetings Planned,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Legislative Meetings Planned
214,Scheduled Legislative Assemblies,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Scheduled Legislative Assemblies
215,Planned Lawmaking Sessions,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Planned Lawmaking Sessions
216,Legislative Gatherings Timetable,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Legislative Gatherings Timetable
217,Scheduled Parliamentary Sessions,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Scheduled Parliamentary Sessions
218,Legislative Calendar,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Legislative Calendar
219,Planned Legislative Hearings,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Planned Legislative Hearings
220,Legislative Agenda,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Legislative Agenda
221,Scheduled Lawmaking Events,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Scheduled Lawmaking Events
222,Planned Sessions of Congress,Political Indicators,Legislative Activity,Legislative Sessions Scheduled,Planned Sessions of Congress
223,Legislative Process,Political Indicators,Legislative Activity,Legislative Process,
224,Lawmaking,Political Indicators,Legislative Activity,Lawmaking,
225,Legislative Action,Political Indicators,Legislative Activity,Legislative Action,
226,Statutory Activity,Political Indicators,Legislative Activity,Statutory Activity,
227,Policy Development,Political Indicators,Legislative Activity,Policy Development,
228,Legislative Procedure,Political Indicators,Legislative Activity,Legislative Procedure,
229,Bill Drafting,Political Indicators,Legislative Activity,Bill Drafting,
230,Regulatory Activity,Political Indicators,Legislative Activity,Regulatory Activity,
