,reduction_method,cluster_method,Rand_level_6,Rand_level_17,Rand_level_49,Rand_level_139,Rand_level_413,Rand_level_1222
0,None,Agglomerative,0.8059177431924993,0.8923809721904445,0.9617374601671272,0.9871093288926746,0.9962927608275398,0.99959452746338
1,None,Diffusion Condensation,0.7730522164230215,0.8658580431985594,0.957389031921334,0.979451744521752,0.9940166360481733,0.9991702581866516
2,None,HDBSCAN,0.2171203032378433,0.0875833112952733,0.0716287131736813,0.1509179594662277,0.4137188862072692,0.9078449537465932
3,PCA,Agglomerative,0.7998394067496398,0.8937222729015062,0.9615771912540348,0.9869644970602968,0.9963310339445024,0.9995878143419128
4,PCA,Diffusion Condensation,0.7779703847153012,0.8891771830307929,0.9514735970573418,0.9820989131232316,0.9950762760707468,0.9991219237120876
5,PCA,HDBSCAN,0.2166160876650213,0.0871566148351305,0.0707457221807942,0.1508618132052177,0.4099290971746935,0.934741746217156
6,PHATE,Agglomerative,0.8012398743593983,0.8975447124998885,0.9614961496149615,0.987078065633703,0.9961891982757586,0.9995126273814798
7,PHATE,Diffusion Condensation,0.841981555392863,0.90080911870541,0.9523088097704768,0.9845361712716172,0.9944759134517248,0.9987097380540004
8,PHATE,HDBSCAN,0.2174769147202607,0.0951800534262002,0.2065418746382609,0.2775858383817116,0.8146748135874068,0.9854566936534148
9,UMAP,Agglomerative,0.8188614410882554,0.9070098859270396,0.9639558238396682,0.9875189413877696,0.9963002653602776,0.9994723486526764
10,UMAP,Diffusion Condensation,0.8018757527808611,0.8730429459884292,0.9545295925964228,0.9838158402638876,0.9949456972011096,0.9991622024408908
11,UMAP,HDBSCAN,0.769995630918924,0.7986052136602295,0.8211423121421543,0.9114503281047128,0.9758001332805014,0.998212967065426
